taskname,dateString,startTime,endTime,type
123,2020-12-07,1607305379379,1607305379379,static
1234,2020-12-07,1607305384193,1607305384193,static
Zxc,2020-12-07,1607305418213,1607305418213,static
Heeeeee,2020-12-07,1607305491125,1607305491125,static
Hoooooo,2020-12-07,1607305505837,1607305505837,static
First Task,2020-12-11,1607651287000,1607305687013,static
Second Task,2020-12-11,1607651301000,1607305701083,static
Xzcxzcxzcxzc,2020-12-07,1607308629308,1607308629308,static
Asdasd,2020-12-07,1607309553960,1607309553960,static
Test?,2020-12-07,1607312612742,1607312612742,static
This will work,2020-12-07,1607313569055,1607313569055,static
9999999,2020-12-07,1607313716772,1607313716772,static
Task!!!,2020-12-07,1607314104372,1607314104372,static
Task,2020-12-10,,1607925413000,dynamic
Yuk yuk,2020-12-10,,1608271068000,dynamic
Hv,2020-12-20,1608423806823,1608423806823,static
H,2020-12-26,1608942009554,1608942009554,static
